DEPTO,DOMINIO,AREA,UPM,NO_HOGAR,FACTOR,POBREZA,TOTAL_PERS,PPB01,PPB02,PPB03,P01A01,P01A02,P01A03,P01A04,P01A05A,P01A05B,P01A05C,P01A05D,P01A05E,P01A05F,P01A06,P01B01,P01B02,P01B03,P01C01,P01C02A,P01C02B,P01C02C,P01C02D,P01C02E,P01C02F,P01C02G,P01C02H,P01C02I,P01C02J,P01C02K,P01C02L,P01C02M,P01C03A,P01C03B,P01C03C,P01C03D,P01C03E,P01C03F,P01C04,P01D01,P01D02,P01D03,P01D04,P01D05,P01D06,P01D07,P01D08,P01D09,P01D10,P01D11,P01D12,P01D13A,P01D13B,P01D14,P01D15A,P01D15B,P01D16,P01D17,P01D18,P01D19,P01D20A,P01D21A,P01D20B,P01D21B,P01D20C,P01D21C,P01D20D,P01D21D,P01D20E,P01D21E,P01D22,P01D23A,P01D23B,P01D24,P01D25,P01D26,P01D27,P01D28,P01D29,P01D30,P01D31A,P01D31B,P01D31C,P01D32,P01D33,P01D34,P01G01,P01H01,P01H02,P01H03,P01H04,P01H05,P01H06,P01H07,P01H08,P01H09,P01H10,P01H11,P01H12,P01H13,P01H14,P01H15,P01H16,P01I01A,P01I01B,P02B01,P02B02A,P02B02B,P02B02C,P02B02D,P02B02E,P02B02F,P02B02G,P02B03A,P02B03B,P02B03C,P02B04A,P02B04B,P02B04C,P02B05A,P02B05B
1,1,1,395,52,1120,3,3,1,1,1,1,2,1,1,1,1,1,2,1,1,5,4,800,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,2,1,180,3,8,,,,,2,,4,1,2,1,2,,2,,1,150,2,,1,100,2,1,50,1,0,,,2,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,395,53,1120,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,N/A,700,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,2,2,75,0,5,,,,,2,,4,1,1,2,2,,1,50,1,60,2,,1,100,2,1,50,1,0,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,395,56,1120,3,5,1,1,1,1,2,2,2,1,1,1,1,1,1,5,1,2500,N/A,2,,,,,,,,,,,,,,,,,,,,,5,4,0,1,1,1,1,1,180,10,24,,,,,2,,4,1,1,1,1,450,1,0,1,160,1,0,1,143,2,1,40,1,0,,,2,,,,,,,,,1,1,1,1,1,1,1,1,2,2,99,99,99,99,99,99,99,2,,1,2,2,2,2,2,2,2,,,,,,,,
1,1,1,395,55,1120,3,4,1,1,1,1,2,2,4,1,1,1,1,1,1,2,1,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,1,1,1,70,0,24,,,,,2,,4,1,1,1,2,,2,,2,,2,,1,100,2,1,50,1,1,1,24,2,,,,,,,,,1,1,2,1,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,395,54,1120,2,6,1,1,1,1,2,2,7,1,1,1,2,1,1,3,4,1000,N/A,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3000,3,3,0,3,1,1,1,1,90,5,20,,,,,2,,4,1,1,1,2,,2,,1,30,2,,2,,2,1,50,1,1,0,24,2,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,395,51,1120,3,5,1,1,1,1,2,1,1,1,1,1,2,1,1,4,1,2000,N/A,2,,,,,,,,,,,,,,,,,,,,,4,3,0,1,1,1,1,1,55,2,5,,,,,2,,4,1,1,1,1,225,2,,1,500,1,125,1,100,2,1,50,1,3,0,2,2,,,,,,,,,1,2,2,1,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,575,78,2410,3,6,1,1,1,1,2,1,2,1,1,1,2,1,1,4,3,N/A,1000,2,,,,,,,,,,,,,,,,,,,,,4,3,0,1,1,1,1,1,600,0,24,,,,,2,,2,1,1,1,2,,2,,1,600,2,,2,,1,1,40,1,0,,,2,,,,,,,,,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,575,79,2410,3,5,1,1,1,5,6,2,6,1,1,1,2,1,1,1,4,700,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,3,1,1,1,1,75,15,15,,,,,2,,4,1,1,2,1,125,2,,1,10,1,0,2,,2,1,35,1,0,,,2,,,,,,,,,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,575,77,2410,3,3,1,1,1,1,2,1,1,1,1,1,2,1,1,4,1,1200,N/A,2,,,,,,,,,,,,,,,,,,,,,4,2,0,1,1,1,2,1,80,0,6,,,,,2,,1,1,2,2,2,,2,,1,100,2,,2,,1,1,45,1,0,,,2,,,,,,,,,3,1,2,1,9,2,2,2,2,1,2,1,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,750,96,835,3,2,1,1,1,1,2,2,1,1,1,1,2,1,1,5,1,1000,N/A,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1050,4,2,0,1,1,1,1,1,100,0,10,,,,,2,,1,1,1,1,2,,2,,1,20,2,,2,,2,1,40,1,0,,,1,2,2,0,,,,2,3,1,1,2,1,2,2,1,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,750,97,835,3,3,1,1,1,1,2,1,2,1,1,1,2,1,1,4,4,2000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,1,1,100,10,10,,,,,2,,2,1,1,1,1,200,2,,1,180,1,100,1,100,2,1,35,1,0,,,2,,,,,,,,,1,1,1,1,2,1,1,2,1,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,750,95,835,3,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,3,N/A,1500,2,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,1,1,40,0,4,,,,,2,,4,1,1,1,2,,2,,1,100,2,,2,,2,1,50,1,0,,,2,,,,,,,,,1,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,750,98,835,3,2,1,1,1,1,2,2,1,1,1,1,1,1,1,7,1,5000,N/A,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,40000,5,3,0,1,1,1,1,1,85,0,5,,,,,2,,4,1,1,1,2,,1,150,1,105,2,,1,140,2,1,35,1,0,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,966,123,1578,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,3,N/A,6030,2,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,2,56,0,24,,,,,2,,2,1,1,1,2,,2,,1,500,1,300,2,,2,2,,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,966,126,1578,3,2,1,1,1,1,3,1,1,1,1,1,2,1,1,3,3,N/A,5000,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,750,3,2,1,1,1,1,1,1,50,0,24,,,,,2,,2,1,1,1,2,,2,,1,400,1,310,2,,1,1,70,1,1,0,24,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,966,124,1578,3,4,1,1,1,2,1,1,2,1,1,1,1,1,1,4,3,N/A,3500,2,,,,,,,,,,,,,,,,,,,,,4,3,0,1,1,1,1,1,300,0,24,,,,,2,,4,1,1,1,1,550,2,,1,200,2,,2,,2,1,40,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,966,125,1578,3,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,N/A,2500,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,5000,1,1,0,1,2,1,2,1,150,12,15,,,,,2,,4,1,2,1,1,300,2,,1,350,2,,2,,2,1,70,1,0,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,1,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,161,510,3,4,1,1,1,2,2,1,2,1,1,1,2,1,1,5,1,2000,N/A,2,,,,,,,,,,,,,,,,,,,,,5,5,0,1,1,1,2,1,400,4,7,,,,,1,120,4,1,1,1,1,349,2,,2,,2,,2,,2,1,45,1,0,,,2,,,,,,,,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,162,510,3,4,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,700,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,4,1,1,2,1,53,3,24,,,,,2,,3,1,2,2,2,,2,,2,,1,30,1,30,2,1,53,1,3,0,24,2,,,,,,,,,1,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,158,510,3,2,1,1,1,1,2,2,4,1,1,1,2,1,1,2,98,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,2,1,50,7,11,,,,,2,,4,1,1,1,1,200,2,,1,350,2,,2,,2,1,12,1,4,0,24,2,,,,,,,,,1,1,2,2,9,1,2,2,2,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,157,510,3,3,1,1,1,1,98,2,1,1,1,1,2,1,1,3,3,N/A,850,2,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,1,1,1,85,1,20,,,,,2,,4,1,1,1,2,,2,,2,,1,150,1,88,1,1,40,1,0,,,1,2,3,500,0,30,98,2,5,1,1,2,1,1,2,1,1,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,163,510,3,5,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1500,N/A,2,,,,,,,,,,,,,,,,,,,,,4,2,0,3,1,1,1,1,100,18,4,,,,,2,,4,1,1,1,1,175,2,,2,,2,,1,100,2,1,50,1,3,0,24,2,,,,,,,,,2,1,2,2,1,2,1,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,164,510,3,1,1,1,1,5,6,2,7,1,1,1,2,1,1,2,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,5,1,1,2,1,90,18,12,,,,,2,,4,1,1,1,2,,2,,2,,2,,1,80,2,1,35,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,156,510,3,5,1,1,1,1,4,2,4,1,1,1,2,1,1,3,1,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,0,1,1,1,1,3,60,0,16,,,,,2,,4,1,1,1,2,,2,,1,490,2,,1,80,2,1,40,1,0,,,1,2,1,400,0,30,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1159,160,510,3,4,1,1,1,1,2,1,4,1,1,1,2,1,1,4,3,N/A,1500,2,,,,,,,,,,,,,,,,,,,,,4,4,0,3,1,1,2,1,200,8,24,,,,,2,,3,1,2,1,2,,2,,2,,2,,2,,2,1,50,1,0,,,2,,,,,,,,,1,1,1,1,1,2,1,1,1,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,1,2,1,1,GUATEMALA,,,,2023,8
1,1,1,1159,159,510,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,1,1,100,0,13,,,,,2,,4,1,1,1,2,,1,200,2,,2,,2,,2,1,50,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,210,953,3,3,1,1,1,1,2,2,1,1,1,1,1,2,1,3,3,N/A,1500,2,,,,,,,,,,,,,,,,,,,,,3,2,0,3,1,1,2,2,125,0,24,,,,,2,,4,1,1,1,1,204,2,,1,225,2,,2,,2,1,45,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,207,953,3,3,1,1,1,1,2,2,4,1,1,1,2,1,1,1,3,N/A,700,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,1,1,200,5,15,,,,,1,40,4,1,1,2,1,215,2,,1,15,1,0,2,,1,2,,1,0,,,1,2,2,5,0,1,1,2,4,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,211,953,3,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,3,N/A,550,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,2,1,0,5,24,,,,,2,,4,1,2,1,2,,2,,1,100,2,,2,,2,1,50,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,209,953,3,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,3,N/A,500,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,2,1,460,6,18,,,,,2,,3,1,2,1,2,,2,,1,25,2,,1,32,2,1,50,1,0,,,2,,,,,,,,,3,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,206,953,3,3,1,1,1,1,2,1,4,1,1,1,1,1,1,5,1,2500,N/A,2,,,,,,,,,,,,,,,,,,,,,5,3,0,1,1,1,1,1,50,0,4,,,,,2,,4,1,1,1,1,249,2,,1,450,2,,2,,2,1,50,1,4,0,24,2,,,,,,,,,1,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,208,953,3,2,1,1,1,1,2,2,7,1,1,1,1,1,1,2,1,2500,N/A,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,700,2,1,0,1,1,1,1,1,54,4,17,,,,,2,,4,1,1,1,1,210,1,110,1,15,2,,2,,2,1,35,1,3,4,24,2,,,,,,,,,3,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1532,205,953,2,3,1,1,1,1,2,2,4,1,1,1,2,1,1,6,4,300,N/A,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,1,0,3,1,98,,,,,,36,1,0,1,1,10,1,1,1,1,2,,2,,1,10,2,,2,,1,2,,1,0,,,1,2,2,50,2,0,1,1,4,1,1,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
1,1,1,1733,239,1056,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,5,3,N/A,1500,2,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,1,2,150,3,24,,,,,2,,2,1,1,1,2,,2,,1,200,1,120,2,,2,1,50,1,0,,,2,,,,,,,,,3,2,2,2,2,2,2,2,2,1,2,2,9,2,2,2,9,2,,2,2,2,2,2,2,2,2,,,,,,,,
