DEPTO,DOMINIO,AREA,UPM,NO_HOGAR,FACTOR,POBREZA,TOTAL_PERS,PPB01,PPB02,PPB03,P01A01,P01A02,P01A03,P01A04,P01A05A,P01A05B,P01A05C,P01A05D,P01A05E,P01A05F,P01A06,P01B01,P01B02,P01B03,P01C01,P01C02A,P01C02B,P01C02C,P01C02D,P01C02E,P01C02F,P01C02G,P01C02H,P01C02I,P01C02J,P01C02K,P01C02L,P01C02M,P01C03A,P01C03B,P01C03C,P01C03D,P01C03E,P01C03F,P01C04,P01D01,P01D02,P01D03,P01D04,P01D05,P01D06,P01D07,P01D08,P01D09,P01D10,P01D11,P01D12,P01D13A,P01D13B,P01D14,P01D15A,P01D15B,P01D16,P01D17,P01D18,P01D19,P01D20A,P01D21A,P01D20B,P01D21B,P01D20C,P01D21C,P01D20D,P01D21D,P01D20E,P01D21E,P01D22,P01D23A,P01D23B,P01D24,P01D25,P01D26,P01D27,P01D28,P01D29,P01D30,P01D31A,P01D31B,P01D31C,P01D32,P01D33,P01D34,P01G01,P01H01,P01H02,P01H03,P01H04,P01H05,P01H06,P01H07,P01H08,P01H09,P01H10,P01H11,P01H12,P01H13,P01H14,P01H15,P01H16,P01I01A,P01I01B,P02B01,P02B02A,P02B02B,P02B02C,P02B02D,P02B02E,P02B02F,P02B02G,P02B03A,P02B03B,P02B03C,P02B04A,P02B04B,P02B04C,P02B05A,P02B05B
5,2,1,7702,2804,236,3,4,1,1,1,1,2,2,4,2,2,1,2,2,1,2,4,800,N/A,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5000,2,2,0,1,1,4,,,,,,5,0,30,1,2,,4,4,1,1,2,,2,,1,50,2,,1,100,3,,,1,3,1,23,1,2,5,25,0,20,98,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7702,2807,236,2,5,1,1,1,1,2,2,4,2,2,1,2,2,1,2,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,4,,,,,,4,0,2,1,2,,3,2,1,1,2,,2,,1,100,2,,1,100,3,,,1,2,0,22,1,2,1,800,0,30,5,2,4,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7702,2801,236,2,3,1,1,1,1,2,2,4,2,2,1,2,2,1,2,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,4,1,4,,,,,,2,0,2,1,2,,3,2,1,1,2,,2,,1,60,2,,1,100,3,,,1,1,0,24,1,2,4,1,0,10,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7702,2800,236,2,4,1,1,1,1,2,2,4,2,2,1,2,2,1,1,1,300,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,4,,,,,,1,0,5,1,2,,3,2,1,1,2,,2,,1,120,2,,2,,3,,,2,,,,1,2,4,2000,0,15,98,2,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7702,2806,236,2,3,1,1,1,4,7,5,2,2,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,4,,,,,,1,0,5,1,2,,2,2,1,1,2,,2,,1,200,2,,1,100,3,,,1,3,0,24,1,2,4,500,0,15,98,1,4,1,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7702,2803,236,2,7,1,1,1,1,2,2,4,2,2,1,2,2,1,7,1,1200,N/A,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,10000,7,6,0,1,1,4,,,,,,1,0,2,1,2,,3,2,1,1,2,,2,,1,100,1,250,2,,3,,,1,2,0,24,1,2,4,1,0,2,1,1,4,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2843,231,3,3,1,1,1,1,2,2,4,2,2,1,2,2,1,2,4,800,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,5,1,4,,,,,,0,,,,2,,5,5,,1,2,,2,,2,,2,,1,100,3,,,1,3,3,24,1,2,4,0,,,,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,,1,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2837,231,3,5,1,1,1,1,2,2,4,1,2,1,2,2,1,3,1,350,N/A,2,,,,,,,,,,,,,,,,,,,,,3,2,0,5,1,4,,,,,,0,,,,2,,3,4,1,1,2,,2,,1,200,1,200,2,,3,,,1,3,3,24,1,2,4,3000,1,30,98,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2838,231,2,6,1,1,1,5,6,2,7,1,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,1,1,1,0,0,12,,,,,2,,5,3,1,1,2,,2,,1,10,2,,2,,3,,,1,3,3,24,1,2,4,3000,3,0,98,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2840,231,2,7,1,1,1,1,2,2,4,2,2,2,2,2,2,2,1,350,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,5,1,4,,,,,,0,,,,2,,5,3,2,1,2,,2,,2,,2,,2,,3,,,1,4,4,24,1,2,4,1000,0,20,4,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2841,231,3,4,1,1,1,1,2,2,4,2,2,1,2,2,1,2,1,400,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,5,1,4,,,,,,5,0,1,1,2,,3,4,1,1,2,,2,,2,,2,,2,,4,,,1,10,4,24,1,2,4,1000,1,30,98,2,5,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2839,231,2,4,1,1,1,5,6,2,7,2,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,4,,,,,,35,0,2,1,2,,3,5,,1,2,,2,,1,25,2,,2,,3,,,1,0,,,1,2,4,1000,2,30,4,2,5,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7769,2842,231,3,7,1,1,1,1,5,2,2,2,2,2,2,2,2,3,4,400,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,4,,,,,,4,0,1,1,2,,3,4,1,1,2,,2,,2,,2,,2,,5,,,2,,,,1,2,4,500,0,20,98,2,5,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2872,217,3,3,1,1,1,1,2,2,4,1,1,1,2,2,1,2,1,800,N/A,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3400,2,2,0,5,1,1,1,1,20,0,9,,,,,2,,4,1,1,1,2,,2,,1,250,2,,1,75,2,1,60,1,0,,,1,2,1,0,,,,2,5,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2869,217,3,2,1,1,1,1,2,2,4,1,1,1,2,2,1,4,1,1200,N/A,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,8500,4,1,1,1,1,1,1,1,20,0,8,,,,,2,,4,1,1,1,2,,2,,1,250,1,330,1,80,2,1,35,1,0,,,2,,,,,,,,,2,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2873,217,3,5,1,1,1,5,6,2,4,1,1,1,2,2,1,3,1,600,N/A,2,,,,,,,,,,,,,,,,,,,,,3,2,0,4,1,1,1,1,20,0,8,,,,,2,,2,1,1,1,2,,2,,1,120,2,,1,75,1,1,30,1,15,0,24,1,2,1,0,,,,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2871,217,3,3,1,1,1,1,3,2,4,1,1,1,2,2,1,2,2,700,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,4,1,1,1,1,0,0,6,,,,,2,,4,1,1,1,2,,2,,1,150,2,,2,,2,1,35,1,3,0,24,2,,,,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2876,217,3,4,1,1,1,1,1,2,4,2,1,1,2,2,1,2,2,800,N/A,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2500,2,2,0,4,1,4,,,,,,0,,,,2,,4,3,1,1,2,,2,,2,,2,,2,,2,1,30,1,10,4,24,1,1,2,0,,,,2,5,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2870,217,2,3,1,1,1,1,2,2,4,2,2,1,2,2,1,2,3,N/A,600,2,,,,,,,,,,,,,,,,,,,,,2,1,0,3,1,4,,,,,,0,,,,2,,1,2,1,1,2,,2,,2,,2,,2,,2,2,,1,0,,,2,,,,,,,,,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2874,217,3,3,1,1,1,1,2,2,4,2,1,1,2,2,1,1,3,N/A,600,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,4,,,,,,0,,,,2,,4,1,1,1,1,120,2,,1,100,2,,2,,1,1,30,1,5,2,24,2,,,,,,,,,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2875,217,3,3,1,1,1,1,2,2,4,2,1,1,2,2,1,1,1,800,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,4,,,,,,0,,,,2,,3,3,1,1,1,250,2,,2,,2,,2,,2,1,35,1,8,1,24,1,2,1,0,,,,2,5,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2877,217,3,5,1,1,1,1,2,2,7,1,2,1,2,2,1,1,1,800,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,1,2,20,0,6,,,,,2,,3,4,1,1,2,,2,,2,,2,,1,82,3,,,1,2,0,24,1,2,1,0,,,,2,5,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,7826,2878,217,2,4,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,700,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,4,,,,,,0,,,,2,,5,4,2,1,2,,2,,2,,2,,1,75,3,,,1,25,0,24,1,2,1,0,,,,2,5,3,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2894,272,3,5,1,1,1,1,2,2,4,2,2,1,2,2,1,1,4,400,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,4,,,,,,30,0,0,1,2,,3,2,1,2,2,,2,,2,,2,,2,,3,,,1,2,0,24,1,2,4,100,0,25,1,2,5,3,1,1,2,2,2,2,9,2,1,2,2,2,9,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2895,272,3,3,1,1,1,5,6,2,4,2,2,2,2,2,2,1,4,700,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,4,,,,,,0,,,,2,,3,5,,1,2,,2,,1,50,2,,2,,3,,,2,,,,2,,,,,,,,,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2892,272,3,3,1,1,1,5,6,2,4,2,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,4,,,,,,15,0,10,1,2,,3,3,1,2,2,,2,,1,40,2,,1,100,3,,,1,4,0,24,1,2,4,500,0,30,1,2,4,3,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2893,272,3,4,1,1,1,1,2,2,4,2,2,1,2,2,1,1,4,800,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,4,,,,,,50,0,45,1,2,,3,4,1,2,2,,2,,1,100,2,,2,,3,,,1,1,1,22,1,2,4,50,0,20,1,2,5,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,1,5,ESCUINTLA,,,,2020,1
5,3,2,7860,2889,272,3,6,1,1,1,1,2,2,4,2,2,1,2,2,1,3,1,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,0,1,1,4,,,,,,0,,,,2,,3,3,1,1,2,,2,,1,370,2,,1,115,3,,,1,2,0,24,1,1,1,1000,1,0,5,1,4,2,1,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2890,272,2,4,1,1,1,1,2,2,4,1,2,1,2,1,1,1,3,N/A,400,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,1,2,2,0,7,20,,,,,2,,5,5,,2,2,,2,,2,,2,,2,,3,,,1,5,2,18,1,2,1,100,0,2,1,2,5,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2891,272,2,6,1,1,1,5,6,2,7,2,2,2,2,2,2,1,4,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,98,,,,,,0,,,,2,,5,5,,1,2,,2,,1,50,2,,2,,3,,,2,,,,1,2,4,1500,0,45,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7860,2896,272,3,3,1,1,1,1,2,2,4,1,2,1,2,1,1,2,1,400,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,1,2,150,0,24,,,,,2,,1,2,1,2,2,,2,,2,,2,,2,,3,,,1,4,0,23,1,2,4,1000,1,0,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2942,377,3,5,1,1,1,1,5,2,7,2,2,1,2,2,2,1,1,400,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,6,1,4,,,,,,10,0,5,1,2,,3,4,1,1,2,,2,,2,,2,,2,,3,,,1,3,5,24,1,2,3,150,0,5,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2946,377,3,3,1,1,1,1,2,2,4,2,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,4,,,,,,0,,,,2,,5,4,1,1,2,,2,,1,60,2,,1,75,3,,,1,3,2,24,1,2,4,500,2,0,1,2,5,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2940,377,3,4,1,1,1,1,1,2,2,2,2,1,2,2,1,3,1,1500,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,4,,,,,,10,0,3,1,1,20,3,2,1,1,2,,2,,1,30,2,,1,75,3,,,1,5,2,24,1,1,1,500,0,20,5,2,5,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2945,377,2,9,1,1,1,1,1,1,7,2,2,1,2,2,1,3,4,2000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,0,5,1,4,,,,,,0,,,,2,,5,3,1,1,2,,2,,1,50,2,,1,75,3,,,1,3,3,24,1,2,1,4000,1,0,5,2,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2941,377,2,6,1,1,1,1,5,2,4,2,2,1,2,2,2,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,4,,,,,,2,0,2,1,2,,3,4,2,1,2,,2,,2,,2,,1,75,3,,,1,3,3,24,1,1,4,1000,0,30,98,2,5,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2944,377,3,3,1,1,1,1,2,2,4,2,2,1,2,2,1,2,4,500,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,4,,,,,,0,,,,2,,3,3,2,1,2,,2,,1,50,2,,1,75,3,,,1,4,0,24,1,2,4,500,1,0,1,2,5,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,,,,,,,,
5,3,2,7950,2943,377,3,7,1,1,1,1,2,2,7,2,2,2,2,2,2,3,1,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,4,,,,,,10,0,0,98,2,,3,4,1,1,2,,2,,2,,2,,1,75,3,,,1,8,4,24,1,1,2,800,0,20,1,2,5,1,1,1,1,1,1,1,1,1,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,1,1,2,1,5,ESCUINTLA,,,,2023,8
5,2,1,8013,2977,260,3,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,900,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,1,2,100,0,24,,,,,2,,5,1,1,1,1,192,2,,1,150,1,0,1,0,3,,,1,1,4,23,1,1,1,30,0,30,98,2,3,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,9,2,2,,4,1,2,2,2,2,1,2,1,5,ESCUINTLA,,,,2005,10
5,2,1,8013,2978,260,3,2,1,1,1,1,2,2,4,1,1,1,2,1,1,3,4,1000,N/A,2,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,1,2,2,115,0,24,,,,,2,,4,2,1,1,2,,2,,1,108,2,,1,80,2,1,50,1,20,1,20,2,,,,,,,,,3,2,2,2,2,2,2,2,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2979,260,3,4,1,1,1,1,2,2,1,1,1,1,2,1,1,4,1,800,N/A,2,,,,,,,,,,,,,,,,,,,,,4,2,0,1,1,1,1,2,100,0,24,,,,,2,,2,1,1,1,1,100,2,,2,,1,0,2,,2,1,50,1,2,0,23,2,,,,,,,,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2972,260,3,5,1,1,1,1,2,1,1,1,1,1,2,1,1,3,4,1800,N/A,2,,,,,,,,,,,,,,,,,,,,,3,2,1,4,1,1,1,2,100,0,24,,,,,2,,4,1,1,1,2,,2,,1,425,2,,2,,2,1,50,1,5,0,22,1,2,2,22000,0,30,5,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2974,260,3,4,1,1,1,1,5,2,7,1,2,1,2,2,1,2,1,450,N/A,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2000,2,2,0,2,1,2,1,1,30,0,14,,,,,2,,4,2,2,1,1,115,2,,1,100,2,,2,,3,,,1,5,0,24,2,,,,,,,,,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,,1,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2973,260,3,4,1,1,1,1,2,2,4,1,2,1,2,1,2,2,2,700,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,4,,,,,,8,0,5,1,2,,1,2,1,1,1,235,2,,1,10,1,0,1,0,4,,,1,4,2,23,1,1,1,30,0,10,1,2,5,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2975,260,3,4,1,1,1,1,2,2,4,1,2,1,2,2,1,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,2,1,1,15,1,15,,,,,2,,4,2,1,1,1,220,2,,1,80,2,,2,,3,,,1,3,0,24,1,2,5,0,,,,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8013,2976,260,2,4,1,1,1,1,2,2,4,1,2,1,2,2,2,1,1,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,1,2,1,15,0,24,,,,,2,,4,3,2,1,2,,2,,1,120,2,,1,75,3,,,1,0,,,1,1,4,500,0,30,98,2,5,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2987,404,3,5,1,1,1,1,2,2,4,1,1,1,2,2,1,3,3,N/A,500,2,,,,,,,,,,,,,,,,,,,,,3,3,0,1,1,1,1,1,30,2,24,,,,,2,,4,1,1,1,2,,2,,1,75,1,75,1,100,2,1,50,1,0,,,1,2,1,0,,,,1,5,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2986,404,3,1,1,1,1,5,6,2,7,2,2,2,2,2,2,1,4,500,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,6,1,3,,,,,,10,0,2,1,2,,1,4,1,1,2,,2,,2,,2,,2,,3,,,2,,,,1,2,1,0,,,,2,5,3,1,1,2,2,2,1,2,1,2,99,99,99,99,99,99,99,2,,1,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2989,404,2,9,1,1,1,1,2,2,4,2,2,1,2,2,1,2,2,1500,N/A,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,5000,2,2,0,1,1,4,,,,,,2,0,10,1,2,,3,2,1,1,2,,2,,2,,1,150,1,75,3,,,1,1,1,5,1,2,1,10,0,2,4,1,5,2,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,,4,2,2,2,1,2,2,2,1,5,ESCUINTLA,,,,2023,8
5,2,1,8034,2988,404,3,3,1,1,1,1,2,2,4,2,2,1,2,2,1,3,4,350,N/A,2,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,4,,,,,,0,,,,2,,5,4,1,1,2,,2,,1,50,2,,1,75,3,,,1,1,0,24,1,2,4,6000,3,0,98,2,5,3,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2990,404,3,3,1,1,1,1,1,2,1,2,2,1,2,2,1,3,1,800,N/A,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1800,3,3,0,1,1,4,,,,,,1,0,1,1,1,75,4,2,1,1,2,,2,,2,,2,,1,75,2,1,30,1,1,0,24,2,,,,,,,,,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2993,404,3,2,1,1,1,1,1,2,4,2,2,1,2,2,1,1,1,800,N/A,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,12000,1,1,0,1,1,4,,,,,,0,,,,2,,3,2,1,1,2,,2,,2,,2,,1,80,3,,,1,3,28,24,1,2,1,0,,,,2,5,1,1,1,1,1,1,1,1,1,2,99,99,99,99,99,99,99,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2991,404,3,3,1,1,1,5,6,2,4,1,2,1,2,2,1,1,1,350,N/A,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5000,1,1,0,2,1,1,1,1,25,0,24,,,,,2,,4,4,1,1,2,,2,,1,20,2,,1,100,2,1,10,1,0,,,1,2,1,100,0,5,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8034,2992,404,3,4,1,1,1,1,2,2,4,2,2,1,2,2,1,4,1,800,N/A,2,,,,,,,,,,,,,,,,,,,,,4,3,0,1,1,4,,,,,,0,,,,2,,5,2,1,1,2,,2,,1,100,2,,1,75,3,,,1,0,,,1,2,4,5000,3,0,98,2,5,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8104,3008,530,3,2,1,1,1,1,2,2,4,1,2,1,2,2,1,2,1,400,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,5,1,1,2,2,25,2,22,,,,,2,,5,4,2,2,2,,2,,2,,2,,1,100,3,,,1,3,2,0,1,2,1,0,,,,2,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,2,2,2,2,2,1,2,1,5,ESCUINTLA,,,,2005,10
5,2,1,8104,3005,530,3,3,1,1,1,1,2,2,4,1,2,1,2,2,1,2,1,1100,N/A,2,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,1,1,1,25,0,24,,,,,2,,4,3,1,1,2,,2,,1,60,2,,1,100,3,,,1,3,0,24,1,2,1,0,,,,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,,3,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8104,3011,530,3,3,1,1,1,1,2,2,7,1,2,1,2,2,1,1,1,350,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,4,1,1,1,1,30,0,24,,,,,2,,5,3,2,1,2,,2,,1,120,2,,2,,5,,,1,3,2,24,1,2,1,0,,,,2,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,1,2,1,5,ESCUINTLA,,,,2021,10
5,2,1,8104,3012,530,3,3,1,1,1,1,2,2,4,1,2,1,2,2,1,2,1,600,N/A,2,,,,,,,,,,,,,,,,,,,,,2,1,0,5,1,1,1,1,25,0,0,,,,,2,,4,2,1,1,2,,2,,2,,2,,2,,3,,,1,3,0,24,2,,,,,,,,,1,1,1,1,1,2,1,1,2,2,99,99,99,99,99,99,99,2,,2,2,2,2,2,2,2,2,,,,,,,,
5,2,1,8104,3009,530,2,3,1,1,1,5,6,2,7,1,2,1,2,1,1,1,1,350,N/A,2,,,,,,,,,,,,,,,,,,,,,1,1,0,5,1,1,1,2,25,7,0,,,,,2,,4,4,1,2,2,,2,,2,,2,,2,,3,,,1,4,3,22,1,2,5,300,1,30,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,2,2,2,2,2,2,1,2,1,5,ESCUINTLA,,,,2005,10
